uniprot_id,Tissue,Organ_id,RNAExpression (tpm)
A0A075B700,Amygdala,2.0,3.45
A0A075B700,Appendix,3.0,10.2
A0A075B700,Basal ganglia,5.0,6.0
A0A075B700,Bone marrow,6.0,1.35
A0A075B700,Breast,7.0,0.0
A0A075B700,Cervix,10.0,0.0
A0A075B700,Colon,11.0,0.75
A0A075B700,Duodenum,12.0,0.0
A0A075B700,Esophagus,14.0,0.0
A0A075B700,Epididymis,16.0,0.0
A0A075B700,Fallopian tube,17.0,0.0
A0A075B700,Gallbladder,18.0,0.8
A0A075B700,Kidney,20.0,0.3
A0A075B700,Liver,21.0,0.0
A0A075B700,Lung,22.0,1.4
A0A075B700,Lymph node,23.0,8.0
A0A075B700,Ovary,29.0,0.0
A0A075B700,Pancreas,30.0,0.0
A0A075B700,Placenta,35.0,0.0
A0A075B700,Prostate,36.0,0.6499999999999999
A0A075B700,Rectum,37.0,1.0
A0A075B700,Skeletal muscle,39.0,0.0
A0A075B700,Salivary gland,40.0,0.0
A0A075B700,Seminal vesicle,41.0,0.0
A0A075B700,Small intestine,43.0,2.05
A0A075B700,Smooth muscle,44.0,0.8
A0A075B700,Spinal cord,46.0,2.95
A0A075B700,Spleen,47.0,6.0
A0A075B706,Adipose tissue,0.0,0.0
A0A075B706,Adrenal gland,1.0,0.0
A0A075B706,Amygdala,2.0,0.75
A0A075B706,Appendix,3.0,8.0
A0A075B706,Basal ganglia,5.0,0.8500000000000001
A0A075B706,Bone marrow,6.0,1.1
A0A075B706,Breast,7.0,0.0
A0A075B706,Cervix,10.0,0.0
A0A075B706,Colon,11.0,0.1
A0A075B706,Duodenum,12.0,0.0
A0A075B706,Esophagus,14.0,0.0
A0A075B706,Epididymis,16.0,0.0
A0A075B706,Fallopian tube,17.0,0.0
A0A075B706,Gallbladder,18.0,0.8
A0A075B706,Kidney,20.0,0.0
A0A075B706,Liver,21.0,0.0
A0A075B706,Lung,22.0,0.95
A0A075B706,Lymph node,23.0,4.9
A0A075B706,Ovary,29.0,0.0
A0A075B706,Pancreas,30.0,0.0
A0A075B706,Placenta,35.0,0.0
A0A075B706,Prostate,36.0,0.0
A0A075B706,Rectum,37.0,0.0
A0A075B706,Skeletal muscle,39.0,0.0
A0A075B706,Salivary gland,40.0,0.0
A0A075B706,Seminal vesicle,41.0,0.0
A0A075B759,Adipose tissue,0.0,18.2
A0A075B759,Adrenal gland,1.0,23.6
A0A075B759,Amygdala,2.0,18.8
A0A075B759,Appendix,3.0,20.2
A0A075B759,Basal ganglia,5.0,20.0
A0A075B759,Bone marrow,6.0,3.9
A0A075B759,Breast,7.0,11.4
A0A075B759,Cervix,10.0,29.9
A0A075B759,Colon,11.0,8.6
A0A075B759,Duodenum,12.0,6.7
A0A075B759,Esophagus,14.0,10.5
A0A075B759,Epididymis,16.0,13.1
A0A075B759,Fallopian tube,17.0,21.2
A0A075B759,Gallbladder,18.0,21.2
A0A087WSX0,Adipose tissue,0.0,8.4
A0A087WSX0,Adrenal gland,1.0,0.4
A0A087WSX0,Amygdala,2.0,0.1
A0A087WSX0,Appendix,3.0,381.6
A0A087WSX0,Basal ganglia,5.0,0.7
A0A087WSX0,Bone marrow,6.0,82.8
A0A087WSX0,Breast,7.0,123.4
A0A087WSX0,Cervix,10.0,0.4
A0A087WSX0,Colon,11.0,363.1
A0A087WSX0,Duodenum,12.0,580.5
A0A087WSX0,Esophagus,14.0,0.0
A0A087WSX0,Epididymis,16.0,0.0
A0A087WT01,Adipose tissue,0.0,0.1
A0A087WT01,Adrenal gland,1.0,0.1
A0A087WT01,Amygdala,2.0,0.1
A0A087WT01,Appendix,3.0,6.1
A0A087WT01,Basal ganglia,5.0,0.1
A0A087WT01,Bone marrow,6.0,0.5
A0A087WT01,Breast,7.0,0.4
A0A087WT01,Cervix,10.0,0.3
A0A087WT01,Colon,11.0,1.3
A0A087WT01,Duodenum,12.0,1.7
A0A087WT01,Esophagus,14.0,0.9
A0A087WT01,Epididymis,16.0,0.5
A0A087WT01,Fallopian tube,17.0,0.8
A0A087WT01,Gallbladder,18.0,1.5
A0A087WT01,Kidney,20.0,0.1
A0A087WT02,Adipose tissue,0.0,0.6
A0A087WT02,Adrenal gland,1.0,0.1
A0A087WT02,Amygdala,2.0,0.0
A0A087WT02,Appendix,3.0,12.1
A0A087WT02,Basal ganglia,5.0,0.0
A0A087WT02,Bone marrow,6.0,0.9
A0A087WT02,Breast,7.0,1.3
A0A087WT02,Cervix,10.0,2.6
A0A087WT02,Colon,11.0,2.0
A0A087WT02,Duodenum,12.0,2.2
A0A087WT02,Esophagus,14.0,0.4
A0A087WT02,Epididymis,16.0,1.1
A0A087WT02,Fallopian tube,17.0,0.9
A0A087WT02,Gallbladder,18.0,9.7
A0A087WT02,Kidney,20.0,0.3
A0A087WT02,Liver,21.0,0.2
A0A087WT02,Lung,22.0,4.2
A0A087WT02,Lymph node,23.0,20.8
A0A087WT02,Ovary,29.0,0.0
A0A087WT02,Pancreas,30.0,0.0
A0A087WT02,Placenta,35.0,0.2
A0A087WT03,Adipose tissue,0.0,0.0
A0A087WT03,Adrenal gland,1.0,0.0
A0A087WT03,Amygdala,2.0,0.0
A0A087WT03,Appendix,3.0,0.0
A0A087WT03,Basal ganglia,5.0,0.0
A0A087WT03,Bone marrow,6.0,0.0
A0A087WT03,Breast,7.0,0.0
A0A087WT03,Cervix,10.0,0.0
A0A087WT03,Colon,11.0,0.0
A0A087WT03,Duodenum,12.0,0.0
A0A087WT03,Esophagus,14.0,0.0
A0A087WT03,Epididymis,16.0,0.0
A0A087WT03,Fallopian tube,17.0,0.0
A0A087WT03,Gallbladder,18.0,0.0
A0A087WTH1,Adipose tissue,0.0,2.3
A0A087WTH1,Adrenal gland,1.0,2.1
A0A087WTH1,Amygdala,2.0,1.25
A0A087WTH1,Appendix,3.0,35.1
A0A087WTH1,Basal ganglia,5.0,0.5
A0A087WTH1,Bone marrow,6.0,11.7
A0A087WTH1,Breast,7.0,12.15
A0A087WTH1,Cervix,10.0,6.25
A0A087WTH1,Colon,11.0,26.9
A0A087WTH1,Duodenum,12.0,4.15
A0A087WTH1,Esophagus,14.0,0.0
A0A087WTH1,Epididymis,16.0,0.0
A0A087WTH1,Fallopian tube,17.0,0.0
A0A087WTH1,Gallbladder,18.0,0.0
A0A087WUL8,Adipose tissue,0.0,15.2
A0A087WUL8,Adrenal gland,1.0,1.1
A0A087WUL8,Amygdala,2.0,13.9
A0A087WUL8,Appendix,3.0,0.7
A0A087WUL8,Basal ganglia,5.0,13.3
A0A087WUL8,Bone marrow,6.0,0.1
A0A087WUL8,Breast,7.0,3.2
A0A087WV53,Adipose tissue,0.0,0.0
A0A087WV53,Adrenal gland,1.0,0.0
A0A087WV53,Amygdala,2.0,0.4
A0A087WV53,Appendix,3.0,0.0
A0A087WV53,Basal ganglia,5.0,0.6
A0A087WV53,Bone marrow,6.0,0.0
A0A087WV53,Breast,7.0,0.0
A0A087WV53,Cervix,10.0,0.0
A0A087WV53,Colon,11.0,0.0
A0A087WV53,Duodenum,12.0,0.0
A0A087WV53,Esophagus,14.0,0.0
A0A087WV53,Epididymis,16.0,0.0
A0A087WV53,Fallopian tube,17.0,0.0
A0A087WV53,Gallbladder,18.0,0.0
A0A087WV53,Kidney,20.0,0.0
A0A087WV53,Liver,21.0,0.0
A0A087WV62,Adipose tissue,0.0,0.0
A0A087WV62,Adrenal gland,1.0,0.0
A0A087WV62,Amygdala,2.0,0.0
A0A087WV62,Appendix,3.0,0.0
A0A087WV62,Basal ganglia,5.0,0.0
A0A087WV62,Bone marrow,6.0,0.0
A0A087WV62,Breast,7.0,0.0
A0A087WV62,Cervix,10.0,0.0
A0A087WV62,Colon,11.0,0.0
A0A087WV62,Duodenum,12.0,0.0
A0A087WV62,Esophagus,14.0,0.0
A0A087WV62,Epididymis,16.0,0.0
A0A087WV62,Fallopian tube,17.0,0.0
A0A087WV62,Gallbladder,18.0,0.0
A0A087WV62,Kidney,20.0,0.0
A0A087WV62,Liver,21.0,0.0
A0A087WV62,Lung,22.0,0.0
A0A087WV62,Lymph node,23.0,0.0
A0A087WV62,Ovary,29.0,0.0
A0A087X179,Adipose tissue,0.0,42.5
A0A087X179,Adrenal gland,1.0,45.5
A0A087X179,Amygdala,2.0,25.0
A0A087X179,Appendix,3.0,76.5
A0A087X179,Basal ganglia,5.0,25.8
A0A087X179,Bone marrow,6.0,23.5
A0A087X1G2,Adipose tissue,0.0,0.0
A0A087X1G2,Adrenal gland,1.0,0.0
A0A087X1G2,Amygdala,2.0,1.5
A0A087X1G2,Appendix,3.0,0.1
A0A087X1G2,Basal ganglia,5.0,2.5
A0A087X1G2,Bone marrow,6.0,2.5
A0A096LNP1,Adipose tissue,0.0,0.0
A0A096LNP1,Adrenal gland,1.0,0.0
A0A096LNP1,Amygdala,2.0,0.0
A0A096LNP1,Appendix,3.0,0.0
A0A096LNP1,Basal ganglia,5.0,0.0
A0A096LNP1,Bone marrow,6.0,0.0
A0A096LNP1,Breast,7.0,0.0
A0A096LNP1,Cervix,10.0,0.0
A0A096LNP1,Colon,11.0,0.0
A0A096LNP1,Duodenum,12.0,0.0
A0A096LNP1,Esophagus,14.0,0.0
A0A096LNP1,Epididymis,16.0,0.0
A0A096LNP1,Fallopian tube,17.0,0.0
A0A096LNP1,Gallbladder,18.0,0.0
A0A096LNP1,Kidney,20.0,0.0
A0A096LNP1,Liver,21.0,0.0
A0A096LNP1,Lung,22.0,0.0
A0A096LNP1,Lymph node,23.0,0.0
A0A096LNP1,Ovary,29.0,0.0
A0A096LNP1,Pancreas,30.0,0.0
A0A096LP01,Adipose tissue,0.0,0.0
A0A096LP01,Adrenal gland,1.0,0.0
A0A096LP01,Amygdala,2.0,0.0
A0A096LP01,Appendix,3.0,0.0
A0A0A0MS00,Adipose tissue,0.0,11.8
A0A0A0MS00,Adrenal gland,1.0,2.6
A0A0A0MS00,Amygdala,2.0,0.2
A0A0A0MS00,Appendix,3.0,21.2
A0A0A0MS00,Basal ganglia,5.0,0.2
A0A0A0MS00,Bone marrow,6.0,18.2
A0A0A0MS00,Breast,7.0,33.5
A0A0A0MS00,Cervix,10.0,36.5
A0A0A0MS00,Colon,11.0,53.6
A0A0A0MS00,Duodenum,12.0,19.2
A0A0A0MS00,Esophagus,14.0,10.7
A0A0A0MS00,Epididymis,16.0,0.0
A0A0A0MS00,Fallopian tube,17.0,8.0
A0A0A0MS00,Gallbladder,18.0,15.6
A0A0A0MS00,Kidney,20.0,0.6
A0A0A0MS00,Liver,21.0,2.0
A0A0A0MS00,Lung,22.0,2.0
A0A0A0MS14,Adipose tissue,0.0,3.3
A0A0A0MS14,Adrenal gland,1.0,0.3
A0A0A0MS14,Amygdala,2.0,0.1
A0A0A0MS14,Appendix,3.0,0.0
A0A0A0MS14,Basal ganglia,5.0,0.1
A0A0A0MS14,Bone marrow,6.0,0.0
A0A0A0MS14,Breast,7.0,2.0
A0A0A0MS14,Cervix,10.0,0.4
A0A0A0MT76,Adipose tissue,0.0,284.8
A0A0A0MT76,Adrenal gland,1.0,665.1
A0A0A0MT76,Amygdala,2.0,6.699999999999999
A0A0A0MT76,Appendix,3.0,3257.6499999999996
A0A0A0MT76,Basal ganglia,5.0,5.8
A0A0A0MT76,Bone marrow,6.0,999.0999999999999
A0A0A0MT76,Breast,7.0,1776.1000000000001
A0A0A0MT76,Cervix,10.0,769.6500000000001
A0A0A0MT76,Colon,11.0,5387.4
A0A0A0MT76,Duodenum,12.0,6474.6
A0A0A0MT76,Esophagus,14.0,1161.45
A0A0A0MT76,Epididymis,16.0,123.35000000000001
A0A0A0MT76,Fallopian tube,17.0,240.0
A0A0A0MT76,Gallbladder,18.0,3043.2
A0A0A0MT76,Kidney,20.0,96.0
A0A0A0MT78,Adipose tissue,0.0,0.0
A0A0A0MT78,Adrenal gland,1.0,0.3
A0A0A0MT78,Amygdala,2.0,0.4
A0A0A0MT78,Appendix,3.0,4.9
A0A0A0MT78,Basal ganglia,5.0,0.5
A0A0A0MT78,Bone marrow,6.0,1.0
A0A0A0MT78,Breast,7.0,0.6
A0A0A0MT78,Cervix,10.0,0.8
A0A0A0MT78,Colon,11.0,0.9
A0A0A0MT78,Duodenum,12.0,1.7
A0A0A0MT89,Adipose tissue,0.0,67.9
A0A0A0MT89,Adrenal gland,1.0,418.0
A0A0A0MTA7,Adipose tissue,0.0,2.3
A0A0A0MTA7,Adrenal gland,1.0,1.7
A0A0A0MTA7,Amygdala,2.0,3.3
A0A0A0MTA7,Appendix,3.0,22.8
A0A0A0MTA7,Basal ganglia,5.0,5.5
A0A0A0MTA7,Bone marrow,6.0,10.75
A0A0A0MTA7,Breast,7.0,3.1
A0A0A0MTA7,Cervix,10.0,1.4
A0A0A0MTA7,Colon,11.0,2.8
A0A0A0MTA7,Duodenum,12.0,10.350000000000001
A0A0A0MTA7,Esophagus,14.0,0.4
A0A0A0MTA7,Epididymis,16.0,0.0
A0A0A0MTA7,Fallopian tube,17.0,1.2
A0A0A0MTA7,Gallbladder,18.0,4.05
A0A0A0MTA7,Kidney,20.0,1.1
A0A0A0MTA7,Liver,21.0,2.5
A0A0A0MTA7,Lung,22.0,17.6
A0A0A0MTA7,Lymph node,23.0,96.8
A0A0A0MTA7,Ovary,29.0,5.8
A0A0A0MTA7,Pancreas,30.0,0.0
A0A0A0MTA7,Placenta,35.0,1.2
A0A0A6YYG2,Adipose tissue,0.0,0.2
